Index,이름,분류,가격,이미지,필수여부,브러시ID,브러시이미지,브러시반경,입자수,흩뿌림반경,최소크기,최대크기,스탬프간격,,,,,,,,,,
r25,녹차밥,밥,,녹차밥_통_0,,b25,녹차밥_0,0.3,2,0.22,0.75,1.25,0.04,,,,녹차밥_통_0_통,녹차밥_통_0_통_0,녹차밥_0,,,,
r26,단무지,속,,단무지_box_0,,b26,단무지_line_0,,,,,,,단무지_box,단무지_line_0.png,단무지_line.png,,단무지_box_0_0,단무지_box_0,단무지_line,단무지_line_0,단무지_line,단무지_line_0
r27,우엉조림,속,,우엉조림_box_0,,b27,우엉조림_line_0,,,,,,,우엉조림_box,우엉조림_line_0.png,우엉조림_line.png,,우엉조림_box_0_0,우엉조림_box_0,우엉조림_line,우엉조림_line_0,우엉조림_line,우엉조림_line_0
r28,당근,속,,당근_box_0,,b28,당근_line_0,,,,,,,당근_box,당근_line_0.png,당근_line.png,,당근_box_0_0,당근_box_0,당근_line,당근_line_0,당근_line,당근_line_0
r29,시금치,속,,시금치_box_0,,b29,시금치_line_0,,,,,,,시금치_box,시금치_line_0.png,시금치_line.png,,시금치_box_0_0,시금치_box_0,시금치_line,시금치_line_0,시금치_line,시금치_line_0
r30,계란지단,속,,계란지단_box_0,,b30,계란지단_line_0,,,,,,,계란지단_box,계란지단_line_0.png,계란지단_line.png,,계란지단_box_0_0,계란지단_box_0,계란지단_line,계란지단_line_0,계란지단_line,계란지단_line_0
r31,햄,속,,햄_box_0,,b31,햄_line_0,,,,,,,햄_box,햄_line_0.png,햄_line.png,,햄_box_0_0,햄_box_0,햄_line,햄_line_0,햄_line,햄_line_0
r32,맛살,속,,맛살_box_0,,b32,맛살_line_0,,,,,,,맛살_box,맛살_line_0.png,맛살_line.png,,맛살_box_0_0,맛살_box_0,맛살_line,맛살_line_0,맛살_line,맛살_line_0
r33,오이,속,,오이_box_0,,b33,오이_line_0,,,,,,,오이_box,오이_line_0.png,오이_line.png,,오이_box_0_0,오이_box_0,오이_line,오이_line_0,오이_line,오이_line_0
r34,어묵,속,,어묵_box_0,,b34,어묵_line_0,,,,,,,어묵_box,어묵_line_0.png,어묵_line.png,,어묵_box_0_0,어묵_box_0,어묵_line,어묵_line_0,어묵_line,어묵_line_0
r35,참치,속,,참치_box_0,,b35,참치_line_0,,,,,,,참치_box,참치_line_0.png,참치_line.png,,참치_box_0_0,참치_box_0,참치_line,참치_line_0,참치_line,참치_line_0
r36,치즈,속,,치즈_box_0,,b36,치즈_line_0,,,,,,,치즈_box,치즈_line_0.png,치즈_line.png,,치즈_box_0_0,치즈_box_0,치즈_line,치즈_line_0,치즈_line,치즈_line_0
r37,깻잎,속,,깻잎_box_0,,b37,깻잎_line_0,,,,,,,깻잎_box,깻잎_line_0.png,깻잎_line.png,,깻잎_box_0_0,깻잎_box_0,깻잎_line,깻잎_line_0,깻잎_line,깻잎_line_0
r38,불고기,속,,불고기_box_0,,b38,불고기_line_0,,,,,,,불고기_box,불고기_line_0.png,불고기_line.png,,불고기_box_0_0,불고기_box_0,불고기_line,불고기_line_0,불고기_line,불고기_line_0
r39,제육볶음,속,,제육볶음_box_0,,b39,제육볶음_line_0,,,,,,,제육볶음_box,제육볶음_line_0.png,제육볶음_line.png,,제육볶음_box_0_0,제육볶음_box_0,제육볶음_line,제육볶음_line_0,제육볶음_line,제육볶음_line_0
r40,돈가스,속,,돈가스_box_0,,b40,돈가스_line_0,,,,,,,돈가스_box,돈가스_line_0.png,돈가스_line.png,,돈가스_box_0_0,돈가스_box_0,돈가스_line,돈가스_line_0,돈가스_line,돈가스_line_0
r41,소시지,속,,소시지_box_0,,b41,소시지_line_0,,,,,,,소시지_box,소시지_line_0.png,소시지_line.png,,소시지_box_0_0,소시지_box_0,소시지_line,소시지_line_0,소시지_line,소시지_line_0
r42,베이컨,속,,베이컨_box_0,,b42,베이컨_line_0,,,,,,,베이컨_box,베이컨_line_0.png,베이컨_line.png,,베이컨_box_0_0,베이컨_box_0,베이컨_line,베이컨_line_0,베이컨_line,베이컨_line_0
r43,스팸,속,,스팸_box_0,,b43,스팸_line_0,,,,,,,스팸_box,스팸_line_0.png,스팸_line.png,,스팸_box_0_0,스팸_box_0,스팸_line,스팸_line_0,스팸_line,스팸_line_0
r44,닭가슴살,속,,닭가슴살_box_0,,b44,닭가슴살_line_0,,,,,,,닭가슴살_box,닭가슴살_line_0.png,닭가슴살_line.png,,닭가슴살_box_0_0,닭가슴살_box_0,닭가슴살_line,닭가슴살_line_0,닭가슴살_line,닭가슴살_line_0
r45,닭갈비,속,,닭갈비_box_0,,b45,닭갈비_line_0,,,,,,,닭갈비_box,닭갈비_line_0.png,닭갈비_line.png,,닭갈비_box_0_0,닭갈비_box_0,닭갈비_line,닭갈비_line_0,닭갈비_line,닭갈비_line_0
r46,떡갈비,속,,떡갈비_box_0,,b46,떡갈비_line_0,,,,,,,떡갈비_box,떡갈비_line_0.png,떡갈비_line.png,,떡갈비_box_0_0,떡갈비_box_0,떡갈비_line,떡갈비_line_0,떡갈비_line,떡갈비_line_0
r47,크래미,속,,크래미_box_0,,b47,크래미_line_0,,,,,,,크래미_box,크래미_line_0.png,크래미_line.png,,크래미_box_0_0,크래미_box_0,크래미_line,크래미_line_0,크래미_line,크래미_line_0
r48,새우튀김,속,,새우튀김_box_0,,b48,새우튀김_line_0,,,,,,,새우튀김_box,새우튀김_line_0.png,새우튀김_line.png,,새우튀김_box_0_0,새우튀김_box_0,새우튀김_line,새우튀김_line_0,새우튀김_line,새우튀김_line_0
r49,새우,속,,새우_box_0,,b49,새우_line_0,,,,,,,새우_box,새우_line_0.png,새우_line.png,,새우_box_0_0,새우_box_0,새우_line,새우_line_0,새우_line,새우_line_0
r50,연어,속,,연어_box_0,,b50,연어_line_0,,,,,,,연어_box,연어_line_0.png,연어_line.png,,연어_box_0_0,연어_box_0,연어_line,연어_line_0,연어_line,연어_line_0
r51,장어,속,,장어_box_0,,b51,장어_line_0,,,,,,,장어_box,장어_line_0.png,장어_line.png,,장어_box_0_0,장어_box_0,장어_line,장어_line_0,장어_line,장어_line_0
r52,멸치볶음,속,,멸치볶음_box_0,,b52,멸치볶음_line_0,,,,,,,멸치볶음_box,멸치볶음_line_0.png,멸치볶음_line.png,,멸치볶음_box_0_0,멸치볶음_box_0,멸치볶음_line,멸치볶음_line_0,멸치볶음_line,멸치볶음_line_0
r53,진미채,속,,진미채_box_0,,b53,진미채_line_0,,,,,,,진미채_box,진미채_line_0.png,진미채_line.png,,진미채_box_0_0,진미채_box_0,진미채_line,진미채_line_0,진미채_line,진미채_line_0
r54,명란,속,,명란_box_0,,b54,명란_line_0,,,,,,,명란_box,명란_line_0.png,명란_line.png,,명란_box_0_0,명란_box_0,명란_line,명란_line_0,명란_line,명란_line_0
r55,날치알,속,,날치알_box_0,,b55,날치알_line_0,,,,,,,날치알_box,날치알_line_0.png,날치알_line.png,,날치알_box_0_0,날치알_box_0,날치알_line,날치알_line_0,날치알_line,날치알_line_0
r56,김치,속,,김치_box_0,,b56,김치_line_0,,,,,,,김치_box,김치_line_0.png,김치_line.png,,김치_box_0_0,김치_box_0,김치_line,김치_line_0,김치_line,김치_line_0
r57,볶음김치,속,,볶음김치_box_0,,b57,볶음김치_line_0,,,,,,,볶음김치_box,볶음김치_line_0.png,볶음김치_line.png,,볶음김치_box_0_0,볶음김치_box_0,볶음김치_line,볶음김치_line_0,볶음김치_line,볶음김치_line_0
r58,묵은지,속,,묵은지_box_0,,b58,묵은지_line_0,,,,,,,묵은지_box,묵은지_line_0.png,묵은지_line.png,,묵은지_box_0_0,묵은지_box_0,묵은지_line,묵은지_line_0,묵은지_line,묵은지_line_0
r59,양배추,속,,양배추_box_0,,b59,양배추_line_0,,,,,,,양배추_box,양배추_line_0.png,양배추_line.png,,양배추_box_0_0,양배추_box_0,양배추_line,양배추_line_0,양배추_line,양배추_line_0
r60,양상추,속,,양상추_box_0,,b60,양상추_line_0,,,,,,,양상추_box,양상추_line_0.png,양상추_line.png,,양상추_box_0_0,양상추_box_0,양상추_line,양상추_line_0,양상추_line,양상추_line_0
r61,상추,속,,상추_box_0,,b61,상추_line_0,,,,,,,상추_box,상추_line_0.png,상추_line.png,,상추_box_0_0,상추_box_0,상추_line,상추_line_0,상추_line,상추_line_0
r63,부추,속,,부추_box_0,,b62,부추_line_0,,,,,,,부추_box,부추_line_0.png,부추_line.png,,부추_box_0_0,부추_box_0,부추_line,부추_line_0,부추_line,부추_line_0
r64,고추,속,,고추_box_0,,b63,고추_line_0,,,,,,,고추_box,고추_line_0.png,고추_line.png,,고추_box_0_0,고추_box_0,고추_line,고추_line_0,고추_line,고추_line_0
r66,파프리카,속,,파프리카_box_0,,b64,파프리카_line_0,,,,,,,파프리카_box,파프리카_line_0.png,파프리카_line.png,,파프리카_box_0_0,파프리카_box_0,파프리카_line,파프리카_line_0,파프리카_line,파프리카_line_0
r67,피망,속,,피망_box_0,,b65,피망_line_0,,,,,,,피망_box,피망_line_0.png,피망_line.png,,피망_box_0_0,피망_box_0,피망_line,피망_line_0,피망_line,피망_line_0
r68,양파,속,,양파_box_0,,b66,양파_line_0,,,,,,,양파_box,양파_line_0.png,양파_line.png,,양파_box_0_0,양파_box_0,양파_line,양파_line_0,양파_line,양파_line_0
r69,대파,속,,대파_box_0,,b67,대파_line_0,,,,,,,대파_box,대파_line_0.png,대파_line.png,,대파_box_0_0,대파_box_0,대파_line,대파_line_0,대파_line,대파_line_0
r70,무순,속,,무순_box_0,,b68,무순_line_0,,,,,,,무순_box,무순_line_0.png,무순_line.png,,무순_box_0_0,무순_box_0,무순_line,무순_line_0,무순_line,무순_line_0
r71,숙주,속,,숙주_box_0,,b69,숙주_line_0,,,,,,,숙주_box,숙주_line_0.png,숙주_line.png,,숙주_box_0_0,숙주_box_0,숙주_line,숙주_line_0,숙주_line,숙주_line_0
r72,콩나물,속,,콩나물_box_0,,b70,콩나물_line_0,,,,,,,콩나물_box,콩나물_line_0.png,콩나물_line.png,,콩나물_box_0_0,콩나물_box_0,콩나물_line,콩나물_line_0,콩나물_line,콩나물_line_0
r73,버섯볶음,속,,버섯볶음_box_0,,b71,버섯볶음_line_0,,,,,,,버섯볶음_box,버섯볶음_line_0.png,버섯볶음_line.png,,버섯볶음_box_0_0,버섯볶음_box_0,버섯볶음_line,버섯볶음_line_0,버섯볶음_line,버섯볶음_line_0
r74,표고버섯,속,,표고버섯_box_0,,b72,표고버섯_line_0,,,,,,,표고버섯_box,표고버섯_line_0.png,표고버섯_line.png,,표고버섯_box_0_0,표고버섯_box_0,표고버섯_line,표고버섯_line_0,표고버섯_line,표고버섯_line_0
r75,팽이버섯,속,,팽이버섯_box_0,,b73,팽이버섯_line_0,,,,,,,팽이버섯_box,팽이버섯_line_0.png,팽이버섯_line.png,,팽이버섯_box_0_0,팽이버섯_box_0,팽이버섯_line,팽이버섯_line_0,팽이버섯_line,팽이버섯_line_0
r76,고사리,속,,고사리_box_0,,b74,고사리_line_0,,,,,,,고사리_box,고사리_line_0.png,고사리_line.png,,고사리_box_0_0,고사리_box_0,고사리_line,고사리_line_0,고사리_line,고사리_line_0
r77,애호박,속,,애호박_box_0,,b75,애호박_line_0,,,,,,,애호박_box,애호박_line_0.png,애호박_line.png,,애호박_box_0_0,애호박_box_0,애호박_line,애호박_line_0,애호박_line,애호박_line_0
r78,가지볶음,속,,가지볶음_box_0,,b76,가지볶음_line_0,,,,,,,가지볶음_box,가지볶음_line_0.png,가지볶음_line.png,,가지볶음_box_0_0,가지볶음_box_0,가지볶음_line,가지볶음_line_0,가지볶음_line,가지볶음_line_0
r79,감자샐러드,속,,감자샐러드_box_0,,b77,감자샐러드_line_0,,,,,,,감자샐러드_box,감자샐러드_line_0.png,감자샐러드_line.png,,감자샐러드_box_0_0,감자샐러드_box_0,감자샐러드_line,감자샐러드_line_0,감자샐러드_line,감자샐러드_line_0
r80,고구마,속,,고구마_box_0,,b78,고구마_line_0,,,,,,,고구마_box,고구마_line_0.png,고구마_line.png,,고구마_box_0_0,고구마_box_0,고구마_line,고구마_line_0,고구마_line,고구마_line_0
r81,유부,속,,유부_box_0,,b79,유부_line_0,,,,,,,유부_box,유부_line_0.png,유부_line.png,,유부_box_0_0,유부_box_0,유부_line,유부_line_0,유부_line,유부_line_0
r82,두부,속,,두부_box_0,,b80,두부_line_0,,,,,,,두부_box,두부_line_0.png,두부_line.png,,두부_box_0_0,두부_box_0,두부_line,두부_line_0,두부_line,두부_line_0
r83,곤약,속,,곤약_box_0,,b81,곤약_line_0,,,,,,,곤약_box,곤약_line_0.png,곤약_line.png,,곤약_box_0_0,곤약_box_0,곤약_line,곤약_line_0,곤약_line,곤약_line_0
r84,아보카도,속,,아보카도_box_0,,b82,아보카도_line_0,,,,,,,아보카도_box,아보카도_line_0.png,아보카도_line.png,,아보카도_box_0_0,아보카도_box_0,아보카도_line,아보카도_line_0,아보카도_line,아보카도_line_0
r85,크림치즈,속,,크림치즈_box_0,,b83,크림치즈_line_0,,,,,,,크림치즈_box,크림치즈_line_0.png,크림치즈_line.png,,크림치즈_box_0_0,크림치즈_box_0,크림치즈_line,크림치즈_line_0,크림치즈_line,크림치즈_line_0
r90,마늘,속,,마늘_box_0,,b84,마늘_line_0,,,,,,,마늘_box,마늘_line_0.png,마늘_line.png,,마늘_box_0_0,마늘_box_0,마늘_line,마늘_line_0,마늘_line,마늘_line_0
r91,달걀말이,속,,달걀말이_box_0,,b85,달걀말이_line_0,,,,,,,달걀말이_box,달걀말이_line_0.png,달걀말이_line.png,,달걀말이_box_0_0,달걀말이_box_0,달걀말이_line,달걀말이_line_0,달걀말이_line,달걀말이_line_0
r92,스크램블에그,속,,스크램블에그_box_0,,b86,스크램블에그_line_0,,,,,,,스크램블에그_box,스크램블에그_line_0.png,스크램블에그_line.png,,스크램블에그_box_0_0,스크램블에그_box_0,스크램블에그_line,스크램블에그_line_0,스크램블에그_line,스크램블에그_line_0
r93,닭튀김,속,,닭튀김_box_0,,b87,닭튀김_line_0,,,,,,,닭튀김_box,닭튀김_line_0.png,닭튀김_line.png,,닭튀김_box_0_0,닭튀김_box_0,닭튀김_line,닭튀김_line_0,닭튀김_line,닭튀김_line_0
r94,오징어튀김,속,,오징어튀김_box_0,,b88,오징어튀김_line_0,,,,,,,오징어튀김_box,오징어튀김_line_0.png,오징어튀김_line.png,,오징어튀김_box_0_0,오징어튀김_box_0,오징어튀김_line,오징어튀김_line_0,오징어튀김_line,오징어튀김_line_0
r95,떡,속,,떡_box_0,,b89,떡_line_0,,,,,,,떡_box,떡_line_0.png,떡_line.png,,떡_box_0_0,떡_box_0,떡_line,떡_line_0,떡_line,떡_line_0
r96,라면사리,속,,라면사리_box_0,,b90,라면사리_line_0,,,,,,,라면사리_box,라면사리_line_0.png,라면사리_line.png,,라면사리_box_0_0,라면사리_box_0,라면사리_line,라면사리_line_0,라면사리_line,라면사리_line_0
r97,돌맹이,속,,돌맹이_box_0,,b91,돌맹이_line_0,,,,,,,돌맹이_box,돌맹이_line_0.png,돌맹이_line.png,,돌맹이_box_0_0,돌맹이_box_0,돌맹이_line,돌맹이_line_0,돌맹이_line,돌맹이_line_0
r86,마요네즈,소스,,,,b92,,,,,,,,,,,,,,,,,
r87,와사비마요,소스,,,,b93,,,,,,,,,,,,,,,,,
r88,고추장,소스,,,,b94,,,,,,,,,,,,,,,,,
r89,쌈장,소스,,,,b95,,,,,,,,,,,,,,,,,
r98,참기름,소스,,,,b96,,,,,,,,,,,,,,,,,
r99,간장,소스,,,,b97,,,,,,,,,,,,,,,,,
r100,초간장,소스,,,,b98,,,,,,,,,,,,,,,,,
r101,참치마요,소스,,,,b99,,,,,,,,,,,,,,,,,
r102,매운마요,소스,,,,b100,,,,,,,,,,,,,,,,,
r103,스리라차마요,소스,,,,b101,,,,,,,,,,,,,,,,,
r104,돈가스소스,소스,,,,b102,,,,,,,,,,,,,,,,,
r105,데리야끼소스,소스,,,,b103,,,,,,,,,,,,,,,,,
r106,불고기소스,소스,,,,b104,,,,,,,,,,,,,,,,,
r107,칠리소스,소스,,,,b105,,,,,,,,,,,,,,,,,
r108,스위트칠리소스,소스,,,,b106,,,,,,,,,,,,,,,,,
r109,머스타드,소스,,,,b107,,,,,,,,,,,,,,,,,
r110,허니머스타드,소스,,,,b108,,,,,,,,,,,,,,,,,
r111,케첩,소스,,,,b109,,,,,,,,,,,,,,,,,
r112,타르타르소스,소스,,,,b110,,,,,,,,,,,,,,,,,
r113,랜치소스,소스,,,,b111,,,,,,,,,,,,,,,,,
r114,땅콩소스,소스,,,,b112,,,,,,,,,,,,,,,,,
r115,유자소스,소스,,,,b113,,,,,,,,,,,,,,,,,
r116,마라소스,소스,,,,b114,,,,,,,,,,,,,,,,,
r117,핫소스,소스,,,,b115,,,,,,,,,,,,,,,,,
